,NAZWA_Sekcji,treść,ID SekcjI (stała),id sekcji nadrzędnej (Stała),ID_TAB,data SFCR,wersja SFCR,numer zakładu w systemie UKNF (kod zakładu)
0,Podsumowanie,"Podstawa sporządzenia NNLife Towarzystwo Ubezpieczeń na Życie i Reasekuracji S.A. (zwane dalej „Spółką”, „NNLife” lub „Towarzystwem”), wcześniej do dnia 1 sierpnia 2022 roku działające pod firmą MetLife Towarzystwo Ubezpieczeń na Życie i Reasekuracji S.A. (MetLife TUnŻiR SA), zostało utworzone Aktem Notarialnym z dnia 9 listopada 1990 roku w Warszawie. 2 stycznia 2023 roku nastąpiło prawne połączenie spółek Nationale-Nederlanden Towarzystwo Ubezpieczeń na Życie S.A. i NNLife Towarzystwo Ubezpieczeń na Życie i Reasekuracji S.A. Wskutek powyższego od tego dnia funkcjonuje jeden zakład ubezpieczeń na życie pod nazwą Nationale- Nederlanden Towarzystwo Ubezpieczeń na Życie S.A. („NN TUnŻ SA”). Sprawozdanie o wypłacalności i kondycji finansowej zostało sporządzone w celu spełnienia wymogów art. 284 Ustawy o działalności ubezpieczeniowej i reasekuracyjnej. Układ sprawozdania jest zgodny z Załącznikiem XX Rozporządzenia Delegowanego. Niniejsze sprawozdanie zostało sporządzone w oparciu o przepisy: • Ustawy z dnia 11 września 2015 r. o działalności ubezpieczeniowej i reasekuracyjnej (Dz. U. z 2022 r. poz. 2283 - ""Ustawa""), • tytułu I Rozporządzenia Delegowanego Komisji (UE) 2015/35 z dnia 10 października 2014 r. (Dz. U. UE L.12) uzupełniającego dyrektywę Parlamentu Europejskiego i Rady 2009/138/WE w sprawie podejmowania i prowadzenia działalności ubezpieczeniowej i reasekuracyjnej - (""Rozporządzenie Delegowane""). • Rozporządzenia Delegowanego Komisji (UE) 2019/981 z dnia 8 marca 2019 r. zmieniającego rozporządzenie delegowane (UE) 2015/35 uzupełniającego dyrektywę Parlamentu Europejskiego i Rady 2009/138/WE w sprawie podejmowania i prowadzenia działalności ubezpieczeniowej i reasekuracyjnej (Wypłacalność II) - (""Rozporządzenie Delegowane""). Przy sporządzaniu dokumentu zostały wzięte pod uwagę także następujące akty prawne: • Rozporządzenie Wykonawcze Komisji (UE) 2015/2452 z dnia 2 grudnia 2015 r. ustanawiając wykonawcze standardy techniczne w odniesieniu do procedur, formatów i wzorów formularzy dotyczących sprawozdania na temat wypłacalności i kondycji finansowej zgodnie z dyrektywą Parlamentu Europejskiego i Rady 2009/138/WE (Dz. U. UE L 347 z dnia 31 grudnia 2015 r.) - (""Dyrektywa Wypłacalność II""), • Rozporządzenie Wykonawcze Komisji (UE) 2017/2190 z dnia 24 listopada 2017 roku w sprawie zmiany i sprostowania rozporządzenia wykonawczego (UE) 2015/2452 - (""Rozporządzenie Wykonawcze""), • Wytyczne europejskiego organu nadzoru dotyczącymi sprawozdawczości i publicznego ujawniania informacji (EIOPABoS - 15/109) - (""Wytyczne EIOPA""), • Rozporządzenie Wykonawcze Komisji (UE) 2019/2102 z dnia 27 listopada 2019 r. zmieniające rozporządzenie wykonawcze (UE) 2015/2452 w odniesieniu do ujawniania informacji wykorzystywanych do obliczania korekty z tytułu zdolności odroczonych podatków dochodowych do pokrywania strat (Dz.U.UE.L.2019.318.6) • Wytyczne krajowego organu nadzoru. Informacje przekazywane w związku z wymogami określanymi na podstawie Rozporządzenia Parlamentu Europejskiego i Rady (UE) 2020/852 Inwestycje w ramach ubezpieczeniowych produktów inwestycyjnych nie uwzględniają unijnych kryteriów dotyczących zrównoważonej środowiskowo działalności gospodarczej, określanych zgodnie z treścią Rozporządzenia 2020/852 oraz aktów delegowanych do tego rozporządzenia. Działalność i wyniki operacyjne B C D E A Dane w niniejszym sprawozdaniu przedstawiono w tysiącach złotych, o ile nie wskazano inaczej. Poniżej przedstawiono podsumowanie w podziale na sekcje i zaznaczono istotne zmiany, które miały miejsce w ciągu roku. A - Działalność i wyniki operacyjne Ogólna strategia funkcjonowania NNLife w roku 2022 zakładała dostarczanie klientom szerokiego zakresu ubezpieczeń ochronnych na życie i dożycie oraz ubezpieczeń wypadkowych i zdrowotnych z wykorzystaniem zdywersyfikowanych kanałów sprzedaży Spółka koncentrowała się w 2022 roku na sprzedaży ubezpieczeń przez kanały bezpośrednie (agencja własna, kanał brokerski i sprzedaż telefoniczna. W obszarze produktowym kluczowa dla Spółki była strategia rozwoju ubezpieczeń ochronnych ze składką regularną (ubezpieczenia terminowe, na życie i dożycie i ubezpieczenia wypadkowe). Dodatkowo Spółka oferowała ubezpieczenia z funduszem kapitałowym w formie umowy dodatkowej ze składką jednorazową. W obszarze działalności operacyjnej w 2022 roku NNLife kontynuowała działania mające na celu wzmacnianie pozytywnych doświadczeń klientów oraz budowanie długoterminowej relacji z klientami i dystrybutorami. Mając na uwadze szczególne okoliczności zewnętrzne związane z pandemią oraz oczekiwaniami klientów co do umożliwienia obsługi poprzez kanały cyfrowe, NNLife w trosce o zdrowie i bezpieczeństwo klientów umożliwił pełną obsługę klientów z wykorzystaniem zdalnych kanałów kontaktu. Chcąc ułatwić współpracę i ograniczyć wysiłek po stronie klientów, wiele procesów zostało uproszczonych. Klientom rekomendowany był kontakt drogą elektroniczną i tą drogą przyjmowane były dyspozycje zmian w polisach oraz wnioski o wypłatę świadczenia, akceptując dokumenty w formie skanu lub zdjęcia. Dodatkowo klienci mogli nadal korzystać z serwisów e-klient i e-roszczenie dostępnych na stronie internetowej oraz obsługi infolinii. Poniższa tabela przedstawia podstawowe dane finansowe Towarzystwa zaprezentowane w Sprawozdaniu finansowym sporządzonym zgodnie z Polskimi Standardami Rachunkowości (PSR). Pozycja Rok 2022 / 31.12.2022 Rok 2021 / 31.12.2021 Składki przypisane brutto 634.778 732.43 Odszkodowania i świadczenia wypłacone brutto 796.878 854.62 Wynik techniczny 62.538 52.331 Wynik finansowy netto 118.702 87.131 Aktywa 4.559.040 5.138.791 Rezerwy techniczno - ubezpieczeniowe 4.099.034 4.532.208 Kapitał własny 324.882 479.516 Sprawozdania finansowe Spółki sporządzane są zgodnie z Polskimi Standardami Rachunkowości (PSR). W okresie 12 miesięcy zakończonych dnia 31 grudnia 2022 roku Spółka osiągnęła przypis Działalność i wyniki operacyjne B C D E A składki brutto w wysokości 635 milionów złotych. Aktywa Spółki na dzień 31 grudnia 2022 roku osiągnęły 4,6 miliarda złotych, a wartość rezerw techniczno-ubezpieczeniowych osiągnęła poziom 4,1 miliarda złotych. W roku 2022 Spółka zanotowała 13% spadek przypisu składki brutto, głównie w obszarze produktów z ubezpieczeniowym funduszem kapitałowym (spadek o 31% w stosunku do roku 2021). Spadek ten spowodowany był przede wszystkim zmniejszeniem sprzedaży ubezpieczenia w formie umowy dodatkowej z ubezpieczeniowym funduszem kapitałowym (UFK) “Rachunek Dodatkowy” oraz zaprzestaniem kilka lat temu sprzedaży nowych ubezpieczeń z UKF ze składką regularną. W grupie I oraz V spadek sprzedaży był nieco mniejszy (odpowiednio 4% oraz 7%) i wynikał głównie z niższej sprzedaży w kanale agencyjnym, która nie rekompensowała utraty przypisu z polis dojrzewających oraz wygasających z powodu rezygnacji klienta z ubezpieczenia. W roku 2022 Spółka osiągnęła wynik techniczny w wysokości 63 mln zł. Wynik finansowy netto Spółki wyniósł w 2022 r. 119 mln zł i wzrósł o 36% w stosunku do poprzedniego roku, co wynikało głównie z poprawy wyniku w części operacyjnej Spółki (niższe świadczenia związane z COVID-19, niższe koszty akwizycji – skompensowane częściowo wyższymi kosztami administracyjnymi związanymi z procesem integracji) oraz rozpoznania zysku ze sprzedaży spółki zależnej Nationale-Nederlanden TFI SA w czwartym kwartale 2022 roku. W kresie sprawozdawczym nie miały miejsca istotne zmiany jakościowe w liniach biznesowych lub segmentach geograficznych. B - System Zarządzania Struktura i role w systemie zarządzania W okresie sprawozdawczym nie zaszły istotne zmiany w systemie zarządzania. Głównymi organami w systemie zarządzania jest Zarząd, Rada Nadzorcza oraz odpowiednie komitety (Komitet Audytu, Komitet Ryzyka, Komitet Inwestycyjny). Struktura zarządzania wspierana jest przez kluczowe funkcje Spółki obejmujące: Departament Audytu Wewnętrznego, Departament Compliance, Departament Zarządzania Ryzykiem, Departament Aktuarialny. Polityka zawierająca wymogi dotyczące kompetencji i reputacji W Spółce obowiązują wymogi dotyczące kompetencji i reputacji osób pełniących funkcje kluczowe, które są zgodne z wymogami ustawy o działalności ubezpieczeniowej. System zarządzania ryzykiem i kontroli wewnętrznej System zarządzania ryzykiem określa podejście do zarządzania ryzykiem, które jest stosowane przez wszystkich pracowników na wszystkich szczeblach struktury organizacyjnej. Głównymi celami systemu zarządzania ryzykiem są: • promowanie silnej kultury zarządzania ryzykiem w Spółce, zakorzenionej w celach i wartościach Spółki, służącej w szczególności ochronie interesów klientów, • zapewnienie spójnego i systematycznego sposobu zarządzania ryzykiem; oraz • zapewnienie, iż osoby podejmujące decyzje będą w stanie efektywnie zarządzać zasobami Spółki wybierając dla Spółki atrakcyjne biznesowo obszary działalności w ramach zdefiniowanego apetytu na ryzyko. • Kluczowym elementem zarządzania ryzykiem jest proces ORSA (Własna Ocena Ryzyk i Wypłacalności - Own Risk and Solvency Assessment). Proces ORSA jest zindywidualizowaną strategiczną analizą wiążącą ze sobą wszystkie filary reżimu Wypłacalność II oraz wszystkie obszary biznesowe Spółki. Pozwala ona Zarządowi zrozumieć ryzyka na jakie narażona jest Spółka oraz to, jak te ryzyka przekładają się na wymogi kapitałowe oraz jakich wymagają działań, by nimi zarządzać zgodnie z poziomem apetytu Spółki na ryzyko. Działalność i wyniki operacyjne B C D E A ORSA jest ciągłym procesem, który podsumowywany jest w rocznym raporcie stanowiącym użyteczne źródło informacji dla Zarządu na określony okres. Rezultaty procesu ORSA oraz wiedza uzyskana w trakcie procesu dają wkład w proces zarządzania ryzykiem, w długoterminowe zarządzanie kapitałem, planowanie biznesowe oraz rozwój i projektowanie produktów. Wyniki procesu ORSA 2022 ujęte w raporcie ORSA 2022 wskazują na dobrą kondycję wypłacalnościową Spółki. Prognozowane wyniki SCR pozostają znacznie powyżej limitów. W ramach analiz scenariuszowych i wrażliwości wyniki wskazują, że największy wpływ na obniżenie wskaźników SCR mogą mieć potencjalnie kryzysy gospodarcze oraz wystąpienie poważnej pandemii. We wszystkich scenariuszach szokowych ORSA, współczynniki wypłacalności są powyżej limitu regulacyjnego. Tak dobre wyniki są rezultatem wygasającego kapitałochłonnego portfela polis, koncentracji na produktach ochronnych i wypadkowych oraz mniejszych planowanych wypłat dywidendy uwzględniających jedynie planowany zysk w danym roku. C - Profil ryzyka Spółka jest narażona na takie ryzyka jak ryzyko aktuarialne, rynkowe, kredytowe, ryzyko płynności oraz ryzyko operacyjne. W bieżącym okresie sprawozdawczym zagregowany profil ryzyka pozostawał relatywnie stabilny, a ekspozycje na ryzyko nieznacznie zmieniały się zgodnie ze strukturą i wielkością prowadzonej działalności. Do najistotniejszych ryzyk z punktu widzenia ekspozycji należy ryzyko aktuarialne i ryzyko stóp procentowych. Najwyższe wymogi kapitałowe Towarzystwa są związane natomiast z ryzykiem rezygnacji z umów w ramach ryzyka ubezpieczeniowego, ryzykiem cen akcji i ryzykiem koncentracji w ramach ryzyka rynkowego. Ekspozycje na ryzyka, w szczególności aktuarialne i ryzyko stóp procentowych, były regularnie monitorowane, nie zanotowano istotnych odchyleń od oczekiwanych poziomów. Limity duracji były przestrzegane w okresie raportowym. Limit odnoszący się do wskaźnika wypłacalności związany z pokryciem wymogów kapitałowych jest regularnie monitorowany, przez cały okres objęty sprawozdaniem był znacznie powyżej limitów ustawowych i wewnętrznych. Zmiany w poziomie wymogów kapitałowych są cyklicznie analizowane i wyjaśniane. Do wyliczeń wymogów kapitałowych Spółka stosuje formułę standardową oraz przeprowadza cyklicznie analizę adekwatności formuły standardowej w odniesieniu do profilu ryzyka Towarzystwa. Zdaniem Towarzystwa Formuła Standardowa właściwie określa łączne wymogi kapitałowe uwzględniając wszystkie najważniejsze ryzyka wymagające zabezpieczenia kapitałowego. Nie odnotowano w okresie raportowym istotnych zmian w profilu ryzyka, poza tymczasowym wzrostem ekspozycji na ryzyko operacyjne w związku z transakcją sprzedaży Spółki oraz materializacją ryzyka związanego z postępowaniem UOKiK, co zostało opisane w punktach C.5 i C.6. D - Wycena do celów wypłacalności Aktywa Na potrzeby reżimu Wypłacalność II aktywa wyceniane są według wartości godziwej zgodnie z Art. 75 Dyrektywy Wypłacalność II oraz Art. 10 Rozporządzenia Delegowanego. W przypadku braku aktywnego rynku zastosowane zostały alternatywne metody wyceny. Wartość godziwa prezentuje kwotę za jaką aktywa mogłyby być wymienione przez dobrze poinformowane niepowiązane ze sobą podmioty na zasadach rynkowych. Główne różnice między reżimem Wypłacalność II a PSR odnoszą się do: • aktywowanych kosztów akwizycji oraz wartości niematerialnych i prawnych, które nie są rozpoznawane w reżimie Wypłacalność II, Działalność i wyniki operacyjne B C D E A • obligacji zaklasyfikowanych jako utrzymywane do terminu wymagalności według PSR, które w PSR wyceniane są w zamortyzowanym koszcie przy użyciu efektywnej stopy procentowej, natomiast według Wypłacalności II wykazywane są w wartości godziwej, • spółek zależnych, które wyceniane są metodą praw własności według PSR oraz zmodyfikowaną metodą praw własności według Wypłacalności II (gdzie głównymi różnicami są wyłączenie rozpoznawania aktywowanych kosztów akwizycji oraz wartości niematerialnych i prawnych w bilansach podmiotów zależnych, wyłączenie rozpoznania wartości firmy w Wypłacalności II oraz wycena rynkowa nieruchomości na potrzeby Wypłacalności II). Zobowiązania Rezerwy techniczno-ubezpieczeniowe odpowiadają bieżącej kwocie, jaką musiałoby zapłacić Towarzystwo, gdyby konieczne było niezwłoczne przeniesienie jego zobowiązań ubezpieczeniowych na inne towarzystwo. Wartość rezerw techniczno-ubezpieczeniowych równa jest sumie najlepszego oszacowania zobowiązań i marginesu ryzyka. Towarzystwo nie korzysta z opcji wyliczenia rezerw techniczno-ubezpieczeniowych łącznie. Najlepsze oszacowania zobowiązań wylicza się brutto, bez odliczania kwot możliwych do odzyskania z kontraktów reasekuracyjnych. Kwoty te wylicza się odrębnie. Innymi istotnymi pozycjami zobowiązań w bilansie według Wypłacalności II są rezerwy z tytułu.podatku odroczonego, rezerwy inne niż rezerwy techniczno-ubezpieczeniowe, zobowiązania finansowe oraz zobowiązania handlowe. W zakresie zobowiązań największe zmiany pomiędzy wyceną według PSR a Wypłacalność II występują w pozycji rezerw techniczno-ubezpieczeniowych oraz rezerwy z tyt. podatku odroczonego. W 2022 roku nie dokonano zmian w zakresie stosowanych metod wyceny oraz sposobie prezentacji aktywów i zobowiązań w bilansie ekonomicznym w porównaniu do roku poprzedniego. E - Zarządzanie kapitałem Podejście Spółki do zarządzania kapitałem Odpowiedzialność za zarządzanie kapitałem Spółki spoczywała w 2022 roku na Dyrektorze Pionu Finansowego. Poziom apetytu na ryzyko rekomendował Dyrektor Departamentu Zarządzania Ryzykiem. Strategiczne cele zarządzania kapitałem obejmują: • zgodność - zapewnienie przestrzegania wymogów prawnych dotyczących wymogów kapitałowych, • efektywną alokację - efektywne zarządzanie i alokacja kapitału w celu osiągnięcia zrównoważonych zysków oraz rozwoju i wzrostu Towarzystwa, • siłę finansową - w celu zapewnienia skutecznego dostępu do kapitału i zminimalizowania całkowitych kosztów kapitału. W okresie sprawozdawczym nie było istotnych zmian w polityce zarządzania kapitałem. Środki własne i SCR SCR wyliczany jest przy użyciu formuły standardowej. Metoda polega na wyznaczeniu wymogu kapitałowego dla każdego z indywidualnych ryzyk skalibrowanych przez EIOPA. EIOPA dostarcza również standardowe matryce korelacji służące do agregowania. Metoda oparta jest na podejściu modularnym dotyczącym ryzyka ubezpieczeń na życie, rynkowego, zdrowotnego i niedotrzymania zobowiązań przez kontrahentów z uwzględnieniem powiązanych podmodułów. Zostały one poddane agregacji przy wykorzystaniu wskaźników korelacji na poziomie podmodułów i modułów głównych. W dalszej kolejności uwzględnia się komponent ryzyka operacyjnego i korekty odnoszące się do zdolności rezerw techniczno-ubezpieczeniowych i podatków odroczonych do absorbcji strat - w wyniku czego wyliczony jest SCR. Środki własne, SCR, stosunek dopuszczonych środków własnych do SCR oraz MCR zaprezentowano poniżej. Dane w tabeli zostały zaprezentowane w tysiącach złotych. Działalność i wyniki operacyjne B C D E A Pozycja (w tys. zł, %) 31 grudnia 2022 31 grudnia 2021 zmiana Środki własne ogółem 540.529 916.704 (376.275) SCR 272.791 294.675 (21.884) Stosunek dopuszczonych środków własnych do SCR 198% 311 % -113pp MCR 122.756 132.604 (9.848) Stosunek dopuszczonych środków własnych do MCR 440% 691 % -251pp Spółka nie dokonuje żadnych odliczeń od środków własnych. Wartość środków własnych wynosiła 541 mln zł na koniec 2022 roku i spadła o 376 mln zł w porównaniu z rokiem ubiegłym. Główną przyczyną spadku było wyłączenie ze środków własnych aktywów spółki zależnej NNLife PTE, w związku ze sprzedażą Funduszy NNLife OFE i NNLife DFE (jak opisano szczegółowo w punkcie A.1.4) i planami likwidacji NNLife PTE, co wpłynęło na zmianę klasyfikacji tych udziałów na niestrategiczne. Kolejną przyczyną był spadek wartości obligacji ze względu na rosnące stopy procentowe. Spadek SCR był związany ze spadkiem ryzyka koncentracji (o 142 mln zł) ze względu na wyłączenie z kalkulacji ryzyka spółek NNLife PTE oraz Nationale-Nederlanden TFI SA i ryzyka rynkowego. Spadek ten został skompensowany częściowo wzrostem ryzyka stóp procentowych ze względu na zmianę struktury portfela obligacji (zapadalność znacznej części portfela i zakup nowych obligacji o dłuższym terminie do wykupu). Na dzień 31 grudnia 2022 r. Spółka spełniała wymogi wypłacalności i posiadała dopuszczone środki własne na pokrycie kapitałowego wymogu wypłacalności (zarówno SCR, jak i MCR). Szczegółowe zmiany SCR opisano w sekcji E.2.3.",1,1,1,2023,1,259400B0G3LJVFVZS942
1,A Działalność i wyniki operacyjne,,2,2,1,2023,1,259400B0G3LJVFVZS942
2,A.1 Działalność,,3,2,1,2023,1,259400B0G3LJVFVZS942
3,A.1.1 Nazwa i forma prawna," NNLife Towarzystwo Ubezpieczeń na Życie i Reasekuracji S.A. (zwane dalej „Spółką”, „NNLife” lub „Towarzystwem”), wcześniej do dnia 1 sierpnia działająca pod firmą MetLife Towarzystwo Ubezpieczeń na Życie i Reasekuracji S.A.) dalej: ""MetLife TUNŻiR S.A."", zostało utworzone Aktem Notarialnym z dnia 9 listopada 1990 roku w Warszawie. Siedziba Spółki na dzień 31 grudnia 2022 r. mieściła się w Warszawie przy ulicy Przemysłowej 26. Spółka rozpoczęła działalność gospodarczą w 1991 roku. Na dzień 31 grudnia 2022 roku Spółka była zarejestrowana w Sądzie Rejonowym dla m.st. Warszawy XII Wydział Gospodarczy Krajowego Rejestru Sądowego pod numerem 0000028131. Działalność i wyniki operacyjne B C D E A",38,2,1,2023,1,259400B0G3LJVFVZS942
4,A.1.2 Organ nadzoru odpowiedzialny za nadzór finansowy nad," Spółką W zakresie działalności ubezpieczeniowej Towarzystwo jest nadzorowane przez Komisję Nadzoru Finansowego (KNF) z siedzibą w Warszawie, ul. Piękna 20. Organem sprawującym nadzór nad Grupą NN, do której należy Towarzystwo jest Dutch Central Bank (DNB) z siedzibą w Holandii pod adresem Spaklerweg 4, 1096 BA Amsterdam, The Netherlands.",39,2,1,2023,1,259400B0G3LJVFVZS942
5,A.1.3 Kluczowy biegły rewident," Biegłym rewidentem badającym sprawozdania Spółki za 2022 r. jest p. Małgorzata Pek-Kocik (nr ewidencyjny 13070) działająca w imieniu firmy audytorskiej Mazars Audyt Spółka z ograniczoną odpowiedzialnością z siedzibą w Warszawie, ul. Piękna 18, wpisanej na prowadzoną przez Krajową Radę Biegłych Rewidentów listę firm audytorskich pod numerem ewidencyjnym 186.",40,2,1,2023,1,259400B0G3LJVFVZS942
6,A.1.4 Udziałowcy posiadający znaczne pakiety akcji," Spółki Towarzystwo wchodzi w skład grupy kapitałowej, którą tworzy spółka NN Group N.V. i podmioty zależne od spółki NN Group N.V. (dalej jako: Grupa NN). NN Group N.V. jest publiczną spółką z ograniczoną odpowiedzialnością (naamloze vennootschap) zawiązaną na podstawie ustawodawstwa Holandii, prowadzącą działalność ubezpieczeniowo-inwestycyjną. Uproszczona struktura akcjonariatu Towarzystwa na dzień 31 grudnia 2022 roku została zaprezentowana poniżej: Sprzedaż udziałów MetLife Towarzystwa Ubezpieczeń na Życie i Reasekuracji S.A. Grupa MetLife podjęła decyzję sprzedaży spółki MetLife TUnŻiR wraz ze spółkami zależnymi. Umowa transakcyjna pomiędzy MetLife EU Holding Company Limited a NN Continental Europe Holdings B.V. została podpisana 4 lipca 2021 roku. Działalność i wyniki operacyjne B C D E A Od momentu sfinalizowania transakcji sprzedaży, która nastąpiła po uzyskaniu zgody KNF w kwietniu 2022 roku, Spółka kontynuowała działalność na dotychczasowych zasadach, realizując przyjęte plany biznesowe. Spółka w 2022 roku utrzymała ofertę produktów ochronnych na życie i dożycie oraz produktów wypadkowo – zdrowotnych, zgodnie z wizją dbałości o klienta. Spółka kontynuowała również prace dotyczące ulepszania i usprawniania wybranych procesów biznesowych i narzędzi. W dniu 1 sierpnia 2022 roku nastąpiła zmiana nazwy - MetLife TUnŻiR S.A. zmieniło nazwę na NNLife Towarzystwo Ubezpieczeń na Życie S.A. W kolejnym kroku, w dniu 2 stycznia 2023 roku, nastąpiło prawne połączenie spółek Nationale-Nederlanden Towarzystwo Ubezpieczeń na Życie S.A. i NNLife Towarzystwo Ubezpieczeń na Życie i Reasekuracji S.A. Wskutek powyższego od tego dnia funkcjonuje jeden zakład ubezpieczeń na życie pod nazwą Nationale-Nederlanden Towarzystwo Ubezpieczeń na Życie S.A W kolejnych latach strategia spółki zostanie uspójniona ze strategią Grupy NN. Portfelem produktów udostępnionych do sprzedaży po prawnym połączeniu spółek NNLife TUnŻiR oraz Nationale- Nederlanden Towarzystwie Ubezpieczeń na Życie S.A. (NN TUNŻ) jest portfel produktów istniejący w NN TUNŻ. Także większość polityk, procedur i standardów obecnie funkcjonujących w Grupie NN (oraz w NN TUNŻ) obowiązuje w połączonym podmiocie. Spółka objęta jest umową TSA (Transitional Service Agreement) z Grupą MetLife, która zabezpieczała i nadal zabezpiecza ciągłość procesów w Spółce. W szczególności dotyczy to procesów IT, księgowych, raportowych, operacyjnych oraz aktuarialnych. Sprawne wyjście z umowy TSA oraz wdrożenie procesów w połączonej organizacji jest istotnym elementem procesu integracji, który toczy się od dnia sfinalizowania transakcji sprzedaży. Sprzedaż spółek zależnych Nationale-Nederlanden Towarzystwo Fundusz Inwestycyjnych S.A. oraz części przedsiębiorstwa NNLife PTE związanej z zarządzanymi funduszami OFE i DFE W dniu 12 września 2022 r. Generali PTE S.A. podpisało z MetLife PTE S.A. (obecnie NNLife PTE S.A.) oraz NNLife TUNŻiR jako gwarantem, warunkową umowę sprzedaży przedsiębiorstwa. Umowa ta dotyczy zbycia części przedsiębiorstwa NNLife PTE związanej z zarządzanymi funduszami NNLife OFE i NNLife DFE do Generali PTE, oraz przekazanie Generali PTE zarzadzania NNLife OFE oraz NNLife DFE. Zawarcie Umowy miało na celu usunięcie naruszenia przez akcjonariusza Spółki - NNLife TUnŻiR oraz NN Continental Europe Holdings B.V., ograniczenia, o którym mowa w art. 37 ust. 2 ustawy z dnia 28 sierpnia 1997 r. o organizacji i funkcjonowaniu funduszy emerytalnych. Nabycie przedsiębiorstwa NNLife PTE przez Generali PTE wymagało spełnienia określonych w Umowie warunków zawieszających, to jest uzyskaniu niezbędnych zgód Komisji Nadzoru Finansowego oraz organów ochrony konkurencji i konsumentów. Po otrzymaniu zgody KNF w dniu 27 stycznia 2023 roku, transakcja została sfinalizowana w dniu 1 lutego 2023 roku. W dniu 10 października 2022 roku, Rockbridge TFI S.A. jako Spółka Przejmująca oraz Altus Agent Transferowy Sp. z o.o. jako Akcjonariusz Spółki Przejmującej zawarły Umowę Inwestycyjną z Nationale Nederlanden Towarzystwo Funduszy Inwestycyjnych S.A. (NN TFI S.A.) jako Spółką Przejmowaną oraz NNLife TUNŻiR jako Akcjonariuszem Spółki Przejmowanej w przedmiocie połączenia przez przeniesienie całego majątku spółki NN TFI S.A. na Rockbridge TFI S.A. w zamian za akcje Rockbridge TFI S.A. wydane Akcjonariuszowi, podlegające odkupieniu od Akcjonariusza przez Rockbridge TFI S.A. w celu ich umorzenia. Na skutek postanowienia Sądu Rejonowego w Warszawie, z dniem 21 grudnia 2022 r. nastąpiło połączenie spółki NN TFI z Rockbridge TFI S.A. (w trybie art. 492 §1 pkt 1 ksh) poprzez przeniesienie całego majątku NN TFI (spółka przejmowana) na Rockbridge TFI (spółka przejmująca). W wyniku połączenia Rockbridge TFI S.A. wstąpiła we wszelkie prawa i obowiązki NN TFI S.A., zgodnie z zasadą sukcesji uniwersalnej wyrażoną w art. 494 § 1 Kodeksu spółek Działalność i wyniki operacyjne B C D E A handlowych, a także NN TFI S.A. została wykreślona z rejestru przedsiębiorców Krajowego Rejestru Sądowego bez przeprowadzenia postępowania likwidacyjnego. W konsekwencji fundusze inwestycyjne zarządzane dotychczas przez Nationale-Nederlanden TFI od dnia 21 grudnia 2022 r. zarządzane są przez Rockbridge TFI.",41,2,1,2023,1,259400B0G3LJVFVZS942
7,"A.1.5 Istotne linie biznesowe oraz istotne obszary geograficzne, na których"," Spółka prowadzi działalność Towarzystwo oferuje szeroki zakres produktów ubezpieczeniowych takich jak: ubezpieczenia na życie, ubezpieczenia zdrowotne i wypadkowe, inwestycyjne, programy emerytalne. Prowadzi działalność w Polsce. Od 1 marca 2015 r. Towarzystwo prowadzi działalność na Łotwie i Litwie, opierając się na zasadzie swobody świadczenia usług. Od końca kwietnia 2022 roku Towarzystwo jest częścią Grupy NN.",42,2,1,2023,1,259400B0G3LJVFVZS942
