treść,NAZWA_Sekcji,ID SekcjI (stała),id sekcji nadrzędnej (Stała),ID_TAB,data SFCR,wersja SFCR,numer zakładu w systemie UKNF (kod zakładu)
Działalność i wyniki operacyjne,A. Działalność i wyniki operacyjne,2,1,1,2022,1,259400IBCICD0KY7ZW46
Działalność,A.1 Działalność,3,2,1,2022,1,259400IBCICD0KY7ZW46
"Towarzystwo Ubezpieczeń Allianz Życie Polska Spółka Akcyjna ma w ofercie szeroki pakiet 
ubezpieczeń indywidualnych i grupowych na życie. Oferta dla osób prywatnych obejmuje m.in. 
ubezpieczenia 
na życie, ubezpieczenia z 
funduszami kapitałowymi oraz indywidualne 
ubezpieczenie zdrowotne. Firmom spółka oferuje grupowe ubezpieczenia na życie, pracownicze 
programy emerytalne oraz ubezpieczenia zdrowotne.",A.1.1 Działalność ubezpieczeniowa  ,38,3,1,2022,1,259400IBCICD0KY7ZW46
"TU Allianz Życie Polska S.A. należy do międzynarodowej grupy, której ostateczną jednostką 
dominującą jest Allianz SE. Struktura grupy oraz kraje lokalizacji spółek zaprezentowane są na 
schemacie poniżej:",A.1.1.1 Przynależność do grupy  ,39,38,1,2022,1,259400IBCICD0KY7ZW46
"Poniżej lista akcjonariuszy wraz z procentową strukturą praw własności i prawa głosu: 
 
1. Allianz Holding eins GmbH, Wiedner Gürtel 9, Turm 9 / Stock 5 / Büro 4 1100 Wiedeń , Austria 
– 80,3% 
2. TUiR Allianz Polska S.A., ul. Rodziny Hiszpańskich 1, Warszawa, Polska – 19,7%",A.1.1.2 Udziały w kapitale akcyjnym powyżej 10%  ,40,38,1,2022,1,259400IBCICD0KY7ZW46
"W okresie sprawozdawczym nie wystąpiły żadne istotne zdarzenia, które wpłynęłyby istotnie na 
zmianę struktury pozycji bilansowych oraz wyniku finansowego. 
 
 
Allianz SE, Niemcy
100%
Allianz Holding eins GmbH, 
Austria
100%
TUiR Allianz Polska S.A., 
Polska
TFI Allianz 
Polska S.A., Polska
100%
Allianz Polska 
Services Sp. z o.o., Polska
100%
TU Allianz Życie 
Polska S.A., Polska
19,7%
PTE Allianz 
Polska S.A., Polska
64,98%
 
 
80,3% 
35,02% 
TU Allianz Życie Polska S.A.
 
 
 
Sprawozdanie o wypłacalności i kondycji finansowej 
31 grudnia 2021 r. 
 
 
12 
 
Internal",A.1.2 Istotne zdarzenia w okresie sprawozdawczym  ,41,3,1,2022,1,259400IBCICD0KY7ZW46
Pozostałe informacje,A.1.3 Pozostałe informacje,42,3,1,2022,1,259400IBCICD0KY7ZW46
"Instytucją odpowiedzialną za nadzór nad sektorem ubezpieczeniowym w Polsce jest Komisja 
Nadzoru Finansowego (KNF), ul. Piękna 20, 00-549 Warszawa. Nadzór nad grupą kapitałową 
Allianz sprawuje niemiecki Federalny Urząd Nadzoru Finansowego (“Bundesanstalt für 
Finanzdienstleistungsaufsicht” – BaFin), Dreizehnmorgenweg 13-15, 53175 Bonn.",A.1.3.1 Nadzór  ,43,42,1,2022,1,259400IBCICD0KY7ZW46
"PricewaterhouseCoopers Polska spółka z ograniczoną odpowiedzialnością Audyt sp.k., ul. Polna 
11, 00-633 Warszawa, numer podmiotu uprawnionego 144, została wybrana przez Radę 
Nadzorczą Spółki jako firma audytorska uprawniona do badania Sprawozdania o wypłacalności i 
kondycji finansowej na dzień 31 grudnia 2021 roku.  
Za przeprowadzenie badania i sporządzenie opinii odpowiedzialny jest niezależny biegły rewident 
Michał Sieradzki, numer ewidencyjny 13475.",A.1.3.2 Audytor ,44,42,1,2022,1,259400IBCICD0KY7ZW46
Wynik z działalności ubezpieczeniowej,A.2 Wynik z działalności ubezpieczeniowej,4,2,1,2022,1,259400IBCICD0KY7ZW46
"TU Allianz Życie Polska S.A. prezentuje wynik techniczny jako wynik z działalności 
ubezpieczeniowej.",A.2.1 Life ,45,4,1,2022,1,259400IBCICD0KY7ZW46
